,team1,team2,p_winner,p_perc,p_spread,p_total,CORRECT,INCORRECT
0,MINNESOTA,OHIO-STATE,OHIO-STATE,0.74603282,-5,136,,1.0
1,MONTANA-STATE,IDAHO-STATE,IDAHO-STATE,0.569630594,-5,136,,1.0
2,MIAMI-OH,BUFFALO,BUFFALO,0.698234662,-5,136,1.0,
3,RIDER,SAINT-PETERS,SAINT-PETERS,0.698480634,-5,136,1.0,
4,OREGON-STATE,UCLA,UCLA,0.637028364,-5,136,,1.0
5,NEVADA,BOISE-STATE,BOISE-STATE,0.647959873,-5,136,,1.0
6,BUTLER,CREIGHTON,CREIGHTON,0.847307271,-5,136,1.0,
7,BALL-STATE,TOLEDO,TOLEDO,0.883443794,-5,136,1.0,
8,MISSISSIPPI-STATE,KENTUCKY,MISSISSIPPI-STATE,0.559187742,5,136,1.0,
9,INDIANA,RUTGERS,RUTGERS,0.570633794,-5,136,1.0,
10,OKLAHOMA,KANSAS,KANSAS,0.687502129,-5,136,1.0,
11,PENN-STATE,WISCONSIN,WISCONSIN,0.607259513,-5,136,1.0,
12,TEXAS-TECH,TEXAS,TEXAS-TECH,0.5,5,136,,1.0
13,SOUTHERN,GRAMBLING,GRAMBLING,0.542896899,5,136,1.0,
14,GEORGIA,MISSOURI,MISSOURI,0.609176806,-5,136,1.0,
15,MARYLAND,MICHIGAN,MICHIGAN,0.725324679,-5,136,1.0,
16,PURDUE,OHIO-STATE,OHIO-STATE,0.588227497,-5,136,1.0,
17,MISSISSIPPI-STATE,ALABAMA,ALABAMA,0.773766945,-5,136,1.0,
18,SOUTH-FLORIDA,WICHITA-STATE,WICHITA-STATE,0.804795328,-5,136,1.0,
19,FLORIDA,TENNESSEE,TENNESSEE,0.627743812,-5,136,1.0,
20,SOUTHERN-MISSISSIPPI,CINCINNATI,CINCINNATI,0.810233801,-5,136,1.0,
21,NORTH-TEXAS,LOUISIANA-TECH,LOUISIANA-TECH,0.594541495,-5,136,,1.0
22,OHIO,TOLEDO,TOLEDO,0.737902093,-5,136,,1.0
23,GEORGETOWN,SETON-HALL,SETON-HALL,0.627206652,-5,136,,1.0
24,IONA,NIAGARA,IONA,0.685130633,5,136,1.0,
25,OKLAHOMA-STATE,BAYLOR,BAYLOR,0.765243493,-5,136,,1.0
26,RUTGERS,ILLINOIS,ILLINOIS,0.764842183,-5,136,1.0,
27,TULANE,HOUSTON,HOUSTON,0.955773552,-5,136,1.0,
28,MISSOURI,ARKANSAS,ARKANSAS,0.653936171,-5,136,1.0,
29,AKRON,BUFFALO,BUFFALO,0.538325117,-5,136,1.0,
30,FAIRFIELD,SAINT-PETERS,SAINT-PETERS,0.706275328,-5,136,,1.0
31,NORTH-CAROLINA,FLORIDA-STATE,NORTH-CAROLINA,0.576438128,5,136,,1.0
32,CONNECTICUT,CREIGHTON,CREIGHTON,0.587360935,-5,136,1.0,
33,WISCONSIN,IOWA,IOWA,0.759586946,-5,136,1.0,
34,TEXAS,KANSAS,KANSAS,0.578310409,-5,136,,1.0
35,GRAMBLING,PRAIRIE-VIEW,PRAIRIE-VIEW,0.652397738,-5,136,1.0,
36,SOUTHERN-CALIFORNIA,COLORADO,SOUTHERN-CALIFORNIA,0.552409156,5,136,,1.0
37,COLORADO-STATE,UTAH-STATE,UTAH-STATE,0.630581157,-5,136,1.0,
38,CENTRAL-FLORIDA,MEMPHIS,MEMPHIS,0.627259231,-5,136,1.0,
