,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-11-duke,53.3,8,0,0,116,59,23,0.254,65,0.231,15,0.292,19,0.842,16,1,200,60.5,11.4,5,22,49,,6.2,5,0.385,25,0.12,3,33.7,28,0.331,16,14,40,0.3,12,0,0,11-Nov-16,43.3,13,17.5,7,60.5,88.6,39,0.5,68,0.441,30,0.544,37,0.703,26,0,200,116,41,16,21,94,1,11.1,9,0.324,22,0.364,8,66.3,55,0.549,10.6,10,46,0.478,22,1,1,"Cameron Indoor Stadium, Durham, North Carolina",MARIST,Marist,81.3,Home,DUKE,Duke,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-11-kentucky,43.5,10,11.4,5,110.1,66.7,18,0.49,52,0.442,23,0.365,19,0.684,13,1,200,81,44.4,12,32,64,,7.6,6,0.365,19,0.263,5,55.6,30,0.524,31.7,28,33,0.545,18,0,0,11-Nov-16,67.7,21,24.2,8,81,55.6,15,0.54,62,0.5,31,0.484,30,0.667,20,0,200,110.1,33.3,9,19,87,2,15.2,12,0.29,18,0.278,5,44.4,24,0.57,14.7,13,44,0.591,26,1,1,"Rupp Arena, Lexington, Kentucky",STEPHEN-F-AUSTIN,Stephen F. Austin,78.6,Home,KENTUCKY,Kentucky,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-11-kansas,48.4,15,6.3,3,111.2,71.1,27,0.542,71,0.437,31,0.507,36,0.722,26,0,225,115.7,40.5,17,31,103,11,7.9,7,0.437,31,0.484,15,55,44,0.585,16.4,17,40,0.4,16,1,1,11-Nov-16,51.6,16,5,2,115.7,59.5,25,0.486,71,0.437,31,0.535,38,0.789,30,1,225,111.2,28.9,11,32,99,3,10.1,9,0.324,23,0.304,7,45,36,0.556,11.1,11,48,0.5,24,0,0,"Stan Sheriff Center, Honolulu, Hawaii",KANSAS,Kansas,78.7,Away,INDIANA,Indiana,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-11-villanova,63.2,12,0,0,117.3,71,22,0.338,65,0.292,19,0.108,7,0.571,4,1,200,64,8.9,4,15,48,,4,3,0.492,32,0.188,6,34.2,26,0.351,16,13,33,0.394,13,0,0,11-Nov-16,45.5,15,12.1,4,64,91.1,41,0.604,67,0.493,33,0.179,12,0.583,7,0,200,117.3,29,9,14,88,4,10.7,8,0.612,41,0.366,15,65.8,50,0.605,10,8,26,0.692,18,1,1,"The Pavilion, Villanova, Pennsylvania",LAFAYETTE,Lafayette,74.5,Home,VILLANOVA,Villanova,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-11-oregon,53.8,14,0,0,111,60,18,0.462,66,0.394,26,0.348,23,0.696,16,1,200,93.9,20.6,7,27,77,,3.7,3,0.364,24,0.375,9,39.1,25,0.5,14.6,13,42,0.405,17,0,0,11-Nov-16,55.6,15,31,13,93.9,79.4,27,0.525,60,0.45,27,0.567,34,0.824,28,0,200,111,40,12,23,91,5,2.4,2,0.417,25,0.36,9,60.9,39,0.598,18.5,17,35,0.514,18,1,1,"Matthew Knight Arena, Eugene, Oregon",ARMY,Army,82,Home,OREGON,Oregon,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-11-tulane,67.6,23,4.8,2,96.2,71.1,32,0.558,69,0.493,34,0.362,25,0.72,18,0,200,121.8,44.4,16,20,95,6,9,7,0.29,20,0.45,9,59.3,48,0.587,14,13,49,0.51,25,1,1,11-Nov-16,48,12,8.2,4,121.8,55.6,20,0.431,72,0.347,25,0.264,19,0.684,13,1,200,96.2,28.9,13,21,75,,6.4,5,0.417,30,0.4,12,40.7,33,0.463,12,11,42,0.31,13,0,0,"Smoothie King Center, New Orleans, Louisiana",TULANE,Tulane,78.5,Away,NORTH-CAROLINA,UNC,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-11-xavier,72.4,21,4.4,2,109.1,56,14,0.578,58,0.5,29,0.293,17,0.824,14,1,200,105.2,31,9,23,81,,13,10,0.397,23,0.391,9,42.6,23,0.613,23.4,20,35,0.571,20,0,0,11-Nov-16,56.3,18,8.6,3,105.2,69,20,0.548,62,0.516,32,0.306,19,0.842,16,0,200,109.1,44,11,21,84,7,10.4,8,0.274,17,0.235,4,57.4,31,0.591,19.5,17,45,0.622,28,1,1,"Cintas Center, Cincinnati, Ohio",LEHIGH,Lehigh,77.1,Home,XAVIER,Xavier,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-11-north-carolina-greensboro,50,13,4,1,89.5,77.4,24,0.6,50,0.52,26,0.36,18,0.889,16,0,200,133.3,44,11,17,76,8,14,8,0.32,16,0.5,8,62.5,35,0.649,16,11,34,0.529,18,1,1,11-Nov-16,41.2,7,2.9,1,133.3,56,14,0.446,46,0.37,17,0.283,13,0.769,10,1,200,89.5,22.6,7,15,51,,10.5,6,0.457,21,0.333,7,37.5,21,0.489,17.5,11,25,0.4,10,0,0,"Greensboro Coliseum, Greensboro, North Carolina",NORTH-CAROLINA-GREENSBORO,UNC Greensboro,57.4,Away,VIRGINIA,Virginia,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-11-wisconsin,66.7,10,12.5,3,127.4,57.1,16,0.34,53,0.283,15,0.34,18,0.611,11,1,200,75.8,27.5,11,18,47,,9.7,6,0.302,16,0.375,6,39.7,27,0.382,15.3,11,37,0.243,9,0,0,11-Nov-16,56,14,16.2,6,75.8,72.5,29,0.575,53,0.472,25,0.434,23,0.783,18,0,200,127.4,42.9,12,17,79,9,9.7,6,0.547,29,0.379,11,60.3,41,0.618,14.8,11,24,0.583,14,1,1,"Kohl Center, Madison, Wisconsin",CENTRAL-ARKANSAS,Central Arkansas,62.2,Home,WISCONSIN,Wisconsin,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-11-michigan-state,35,7,6.1,2,88.7,65.5,19,0.433,52,0.385,20,0.519,27,0.741,20,0,200,91.5,28,7,20,65,10,16.9,12,0.269,14,0.357,5,48.1,26,0.501,18,14,38,0.395,15,1,1,11-Nov-16,60,15,2.6,1,91.5,72,18,0.5,58,0.431,25,0.155,9,0.556,5,1,200,88.7,34.5,10,23,63,12,5.6,4,0.431,25,0.32,8,51.9,28,0.506,21.5,17,33,0.515,17,0,0,"Stan Sheriff Center, Honolulu, Hawaii",MICHIGAN-STATE,Michigan State,70.6,Away,ARIZONA,Arizona,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
