,abbreviation,assist_percentage,block_percentage,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,free_throws_per_field_goal_attempt,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_two_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_turnover_percentage,pace,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,two_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,win_percentage,wins,year
ABILENE-CHRISTIAN,ABILENE-CHRISTIAN,58.5,8,0.535,0.469,0.336,0.712,0.239,108.6,28.8,47.3,7.4,0.488,0.434,0.37,0.267,27.3,0.333,0.33,0.485,49.7,0.529,21.5,67.2,12.9,-7.34,0.345,0.38,0.516,50.3,0.565,15.5,0.794,27,2019
AIR-FORCE,AIR-FORCE,54.1,5.8,0.517,0.452,0.283,0.678,0.192,99.5,23.7,54,8.2,0.533,0.451,0.286,0.194,23.8,0.462,0.356,0.533,49.9,0.555,15.7,67.4,7,0.24,0.4,0.329,0.533,50.1,0.541,17.4,0.438,14,2019
AKRON,AKRON,50.1,8.9,0.485,0.409,0.277,0.705,0.195,100.1,25.3,45.1,8.7,0.452,0.396,0.297,0.194,29.3,0.382,0.293,0.46,51.8,0.481,16.6,68.5,8.2,1.09,0.477,0.32,0.491,48.2,0.515,15,0.515,17,2019
ALABAMA-AM,ALABAMA-AM,52.3,4.7,0.457,0.407,0.25,0.627,0.157,88.7,27.6,53.5,8.9,0.537,0.469,0.388,0.247,31.7,0.384,0.353,0.541,52.9,0.558,18.3,67.5,10.7,-8.38,0.32,0.315,0.45,47.1,0.479,19.4,0.156,5,2019
ALABAMA-BIRMINGHAM,ALABAMA-BIRMINGHAM,44.3,7.5,0.511,0.452,0.315,0.673,0.212,105.2,30.4,54.7,8.4,0.49,0.414,0.314,0.23,25.4,0.445,0.34,0.473,47.3,0.526,15.7,66.6,9.3,-1.52,0.346,0.337,0.513,52.7,0.536,14.8,0.571,20,2019
ALABAMA-STATE,ALABAMA-STATE,44,9.3,0.465,0.404,0.388,0.652,0.253,95.9,30.9,54.1,9.4,0.518,0.455,0.361,0.255,30.8,0.368,0.34,0.522,51,0.551,18.8,69.6,9.3,-7.84,0.382,0.321,0.455,49,0.499,17.8,0.387,12,2019
ALABAMA,ALABAMA,48.8,11.6,0.503,0.44,0.38,0.666,0.253,102.8,31.5,43.1,11.7,0.489,0.435,0.296,0.21,28,0.327,0.333,0.484,48,0.521,14.7,69.8,6.6,9.01,0.369,0.34,0.499,52,0.533,16.8,0.529,18,2019
ALBANY-NY,ALBANY-NY,55.2,7.1,0.494,0.416,0.322,0.745,0.24,99.2,27.1,57.2,12.3,0.519,0.449,0.297,0.194,27.7,0.391,0.36,0.506,50.3,0.54,16.5,66.7,9,-6.7,0.451,0.347,0.473,49.7,0.533,18.4,0.375,12,2019
ALCORN-STATE,ALCORN-STATE,55.1,9.8,0.473,0.412,0.316,0.674,0.213,93.2,30.1,62.5,7.7,0.507,0.448,0.355,0.244,29.1,0.377,0.312,0.531,50.1,0.538,16.9,68.8,10.7,-8.97,0.375,0.327,0.463,49.9,0.504,19.9,0.323,10,2019
AMERICAN,AMERICAN,51.5,11,0.532,0.474,0.358,0.698,0.25,104.6,26.1,50.2,9.2,0.482,0.437,0.348,0.248,27.3,0.304,0.292,0.5,49.6,0.52,15.5,67.7,10.7,-7.23,0.355,0.325,0.556,50.4,0.561,16.7,0.5,15,2019
APPALACHIAN-STATE,APPALACHIAN-STATE,46.1,6.9,0.529,0.454,0.364,0.715,0.261,107.6,26.5,45.6,8.9,0.529,0.467,0.336,0.237,28.7,0.336,0.367,0.518,51.4,0.559,15.8,73.7,7.2,0.1,0.42,0.359,0.523,48.6,0.562,15.5,0.344,11,2019
ARIZONA-STATE,ARIZONA-STATE,51.1,9.6,0.506,0.447,0.438,0.68,0.298,105.4,31.3,54.2,8.7,0.485,0.413,0.386,0.272,26.5,0.435,0.334,0.473,47.4,0.525,16.7,72.5,8.5,6.04,0.355,0.336,0.508,52.6,0.543,16.1,0.676,23,2019
ARIZONA,ARIZONA,50.1,6.6,0.49,0.427,0.333,0.719,0.24,102.6,28.4,47.8,10.6,0.509,0.448,0.35,0.238,25.9,0.369,0.329,0.518,49.5,0.538,18,68.6,7.5,6.32,0.376,0.336,0.481,50.5,0.526,14.7,0.531,17,2019
ARKANSAS-LITTLE-ROCK,ARKANSAS-LITTLE-ROCK,54.2,8.6,0.545,0.484,0.417,0.656,0.273,101.2,24.1,54.8,7.1,0.518,0.44,0.385,0.273,26.9,0.438,0.353,0.508,50.2,0.553,17.1,72.7,7.4,-2.07,0.345,0.354,0.553,49.8,0.569,19.9,0.323,10,2019
ARKANSAS-PINE-BLUFF,ARKANSAS-PINE-BLUFF,50.8,9.5,0.484,0.427,0.417,0.678,0.282,96.3,29.1,55.7,9.5,0.513,0.455,0.441,0.298,29.9,0.33,0.355,0.504,50.6,0.548,17.6,67.3,9.9,-8.18,0.341,0.338,0.473,49.4,0.522,19.1,0.406,13,2019
ARKANSAS-STATE,ARKANSAS-STATE,45.6,11.8,0.48,0.418,0.379,0.735,0.278,102.6,33.2,50.9,9.5,0.506,0.442,0.426,0.316,29.1,0.368,0.35,0.495,48.5,0.553,15.1,70.2,8,-1.23,0.372,0.334,0.468,51.5,0.525,16.6,0.406,13,2019
ARKANSAS,ARKANSAS,60.8,15.4,0.51,0.446,0.384,0.668,0.256,104.2,28.3,54,9,0.494,0.424,0.417,0.287,34.5,0.42,0.333,0.489,53,0.532,19.3,71.7,11.2,8.78,0.375,0.345,0.506,47,0.54,16,0.529,18,2019
ARMY,ARMY,59.6,4.6,0.497,0.428,0.241,0.684,0.165,98.9,21.8,52.7,12.4,0.527,0.455,0.281,0.191,22.1,0.407,0.352,0.526,51.1,0.549,17.2,71.7,8.6,-4.73,0.441,0.315,0.517,48.9,0.52,14.7,0.406,13,2019
AUBURN,AUBURN,52.1,15.6,0.543,0.45,0.312,0.711,0.221,114.1,31.6,52.2,11.7,0.512,0.437,0.359,0.254,31.7,0.435,0.345,0.507,50.8,0.545,21.3,69.2,13.2,10.92,0.494,0.377,0.521,49.2,0.569,14.3,0.75,30,2019
AUSTIN-PEAY,AUSTIN-PEAY,46.7,9.2,0.537,0.472,0.342,0.706,0.242,113.1,33.1,51.9,7.9,0.514,0.451,0.337,0.234,29.1,0.378,0.332,0.524,48.3,0.544,19,71.8,10.5,-4.41,0.341,0.382,0.519,51.7,0.566,14.1,0.667,22,2019
BALL-STATE,BALL-STATE,47.9,8.8,0.523,0.47,0.375,0.702,0.263,103.1,27.7,45.4,8.7,0.47,0.415,0.299,0.21,28.1,0.349,0.318,0.466,48.5,0.504,15.4,71.7,9,1.21,0.328,0.325,0.541,51.5,0.556,17.7,0.485,16,2019
BAYLOR,BAYLOR,54.4,13.8,0.512,0.442,0.323,0.677,0.219,107.6,37.6,55.6,12.6,0.491,0.425,0.365,0.249,28.9,0.382,0.345,0.475,45.9,0.525,16.1,66.5,9.2,9.26,0.408,0.341,0.512,54.1,0.538,16.4,0.588,20,2019
BELMONT,BELMONT,61.9,9.1,0.58,0.498,0.286,0.737,0.211,116.2,25.1,44.9,9.9,0.484,0.424,0.27,0.188,24.1,0.352,0.341,0.47,47.8,0.512,14.5,74.2,8.9,-2.6,0.44,0.372,0.596,52.2,0.603,13.7,0.818,27,2019
BETHUNE-COOKMAN,BETHUNE-COOKMAN,53.3,8.8,0.492,0.439,0.363,0.61,0.221,98.6,34.2,55.9,10,0.467,0.413,0.361,0.246,30.2,0.357,0.302,0.475,47.9,0.504,17.6,74.3,10.1,-9.74,0.334,0.321,0.498,52.1,0.514,18.4,0.452,14,2019
BINGHAMTON,BINGHAMTON,40.9,12.6,0.505,0.431,0.245,0.644,0.158,96.9,21.4,61.6,9,0.519,0.444,0.246,0.163,31.1,0.39,0.387,0.48,54.4,0.538,14.7,67.3,8.2,-4.69,0.428,0.349,0.491,45.6,0.523,16.6,0.303,10,2019
BOISE-STATE,BOISE-STATE,47.1,6.4,0.539,0.469,0.324,0.723,0.234,106.9,23.7,51.8,8.3,0.518,0.45,0.328,0.243,24.2,0.403,0.341,0.523,50.2,0.554,16.8,66.5,9,1.08,0.397,0.352,0.546,49.8,0.569,15.4,0.394,13,2019
BOSTON-COLLEGE,BOSTON-COLLEGE,49.7,9.1,0.485,0.425,0.35,0.698,0.244,101.9,28.6,54.2,8.6,0.484,0.419,0.294,0.219,31.5,0.405,0.319,0.488,51.3,0.521,14.2,68.4,7.4,7.76,0.38,0.317,0.491,48.7,0.521,15.2,0.452,14,2019
BOSTON-UNIVERSITY,BOSTON-UNIVERSITY,48.5,6.6,0.537,0.48,0.243,0.684,0.166,105.8,28.7,52.4,8.3,0.539,0.471,0.318,0.232,24.7,0.397,0.343,0.556,48.5,0.569,16.4,68.1,8.8,-5.39,0.332,0.346,0.546,51.5,0.556,16.5,0.455,15,2019
BOWLING-GREEN-STATE,BOWLING-GREEN-STATE,45.2,7.7,0.507,0.443,0.354,0.67,0.237,106.9,31.1,47,7.2,0.5,0.426,0.301,0.209,23.8,0.435,0.342,0.491,46.5,0.529,15.8,72.8,9.1,0.86,0.357,0.357,0.491,53.5,0.535,14.2,0.647,22,2019
BRADLEY,BRADLEY,52.1,11.6,0.497,0.433,0.359,0.692,0.248,100.2,26.9,53.3,7.4,0.477,0.412,0.351,0.254,26.2,0.398,0.327,0.468,49.3,0.518,16.4,66.2,8,-0.9,0.348,0.368,0.468,50.7,0.531,16.7,0.571,20,2019
BRIGHAM-YOUNG,BRIGHAM-YOUNG,54.9,8.8,0.528,0.468,0.399,0.727,0.29,108.5,23.6,51.1,7.2,0.507,0.44,0.354,0.26,26.8,0.366,0.366,0.482,51,0.545,15.5,71.9,8.7,3.31,0.364,0.33,0.546,49,0.566,13.7,0.594,19,2019
BROWN,BROWN,51.9,11,0.513,0.443,0.377,0.715,0.27,100.6,23.5,49.6,9.3,0.479,0.417,0.302,0.208,25.6,0.409,0.302,0.496,50,0.51,18.3,72.6,10.3,-3.29,0.41,0.342,0.513,50,0.549,17.6,0.625,20,2019
BRYANT,BRYANT,45,7.5,0.49,0.422,0.368,0.712,0.262,100.6,26.7,54.8,11.9,0.549,0.475,0.354,0.261,30.3,0.381,0.388,0.528,52.7,0.581,16.2,69.2,7.6,-7.66,0.421,0.325,0.493,47.3,0.529,16.3,0.333,10,2019
BUCKNELL,BUCKNELL,59.9,8.9,0.53,0.45,0.339,0.749,0.254,107.2,25.5,49.8,9.2,0.492,0.435,0.324,0.228,27.4,0.346,0.333,0.488,50.2,0.525,14.6,71.4,7.3,-2.93,0.459,0.351,0.533,49.8,0.566,15.5,0.636,21,2019
BUFFALO,BUFFALO,55.3,10.1,0.535,0.462,0.327,0.687,0.225,112.8,31.8,40.6,8.5,0.474,0.42,0.315,0.221,26.3,0.363,0.298,0.49,47.6,0.509,18.1,74.5,9.8,2.62,0.436,0.337,0.559,52.4,0.561,13.8,0.889,32,2019
BUTLER,BUTLER,50.4,5.7,0.521,0.445,0.252,0.738,0.186,106.5,25.5,49.7,10.7,0.527,0.457,0.363,0.256,27.4,0.394,0.357,0.522,51.7,0.559,16.8,67.1,8.7,8.1,0.428,0.353,0.514,48.3,0.548,14.2,0.485,16,2019
CAL-POLY,CAL-POLY,42.6,8.9,0.477,0.412,0.264,0.648,0.171,97.5,26.1,54.2,9.9,0.522,0.461,0.374,0.263,30.6,0.332,0.368,0.507,53.2,0.555,13.8,66.8,7.4,-3.54,0.401,0.328,0.468,46.8,0.5,14.8,0.207,6,2019
CAL-STATE-BAKERSFIELD,CAL-STATE-BAKERSFIELD,42.7,10.4,0.477,0.424,0.296,0.673,0.199,103.7,37.4,56.2,6.8,0.512,0.436,0.517,0.38,27.8,0.415,0.366,0.486,46.7,0.563,18.1,67.6,9.4,-2.63,0.326,0.324,0.473,53.3,0.505,15.5,0.529,18,2019
CAL-STATE-FULLERTON,CAL-STATE-FULLERTON,46.9,8.7,0.503,0.454,0.38,0.708,0.269,100.1,23.9,48.5,6.6,0.478,0.426,0.341,0.233,25.7,0.333,0.315,0.481,49.7,0.512,14.9,70.3,8.2,-1.14,0.308,0.317,0.515,50.3,0.54,16.6,0.471,16,2019
