,winner,loser,winner_score,loser_score,year,joincol,assist_percentage,block_percentage,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,free_throws_per_field_goal_attempt,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_turnover_percentage,opp_two_point_field_goal_percentage,pace,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_field_goal_percentage,win_percentage,wins,did_win
0,DUKE,MARIST,94,49,2016,1,0.5,4.2,0.049,0.046,0.014,0.037,0.024,15.9,10,-7.3,-3.1,-0.051,-0.028,-0.058,-0.051,-3.3,-0.059,-0.084,-7.1,-0.054,1.4,-0.016,0.8,2.1,13.65,-0.038,0.045,7.1,0.049,-2.4,0.037,0.507,20,1
0,DUKE,MARIST,94,49,2016,1,-0.5,-4.2,-0.049,-0.046,-0.014,-0.037,-0.024,-15.9,-10,7.3,3.1,0.051,0.028,0.058,0.051,3.3,0.059,0.084,7.1,0.054,-1.4,0.016,-0.8,-2.1,-13.65,0.038,-0.045,-7.1,-0.049,2.4,-0.037,-0.507,-20,0
0,KENTUCKY,STEPHEN-F-AUSTIN,87,64,2016,1,-0.6,4.1,0.028,0.027,-0.01,-0.017,-0.014,14.4,-1.6,-7.7,-1.2,-0.037,-0.027,-0.111,-0.076,-1.4,-0.013,-0.045,-0.1,-0.04,-3.6,-0.021,5,-1.6,16.24,-0.029,0.034,0.1,0.02,-8.2,0.016,0.297,14,1
0,KENTUCKY,STEPHEN-F-AUSTIN,87,64,2016,1,0.6,-4.1,-0.028,-0.027,0.01,0.017,0.014,-14.4,1.6,7.7,1.2,0.037,0.027,0.111,0.076,1.4,0.013,0.045,0.1,0.04,3.6,0.021,-5,1.6,-16.24,0.029,-0.034,-0.1,-0.02,8.2,-0.016,-0.297,-14,0
0,INDIANA,KANSAS,103,99,2016,1,-3.6,0.6,-0.009,-0.009,-0.019,0.051,0.005,-3.1,2.4,-2.6,1.7,0.006,0.009,0.068,0.044,-1.4,0,-0.019,-2.1,0.01,-2.3,0.024,-1.9,-0.9,-4.07,0.028,-0.024,2.1,-0.001,3.1,0.005,-0.332,-13,1
0,INDIANA,KANSAS,103,99,2016,1,3.6,-0.6,0.009,0.009,0.019,-0.051,-0.005,3.1,-2.4,2.6,-1.7,-0.006,-0.009,-0.068,-0.044,1.4,0,0.019,2.1,-0.01,2.3,-0.024,1.9,0.9,4.07,-0.028,0.024,-2.1,0.001,-3.1,-0.005,0.332,13,0
0,VILLANOVA,LAFAYETTE,88,48,2016,1,-0.8,0.5,0.078,0.065,0.053,0.079,0.065,23.4,10,1.5,0.1,-0.059,-0.038,-0.09,-0.058,-1.2,-0.037,-0.068,-6.9,-0.057,1.5,-0.027,-4.7,4,12.78,0.033,0.035,6.9,0.084,-3.8,0.098,0.589,23,1
0,VILLANOVA,LAFAYETTE,88,48,2016,1,0.8,-0.5,-0.078,-0.065,-0.053,-0.079,-0.065,-23.4,-10,-1.5,-0.1,0.059,0.038,0.09,0.058,1.2,0.037,0.068,6.9,0.057,-1.5,0.027,4.7,-4,-12.78,-0.033,-0.035,-6.9,-0.084,3.8,-0.098,-0.589,-23,0
0,OREGON,ARMY,91,77,2016,1,-5.5,12.3,0.036,0.039,0.067,0.057,0.064,14.5,5.1,-2.8,-1.8,-0.036,-0.037,-0.079,-0.047,5.1,0.029,-0.017,-1.1,-0.035,1.2,-0.041,-3.2,1.8,12.48,-0.045,0.027,1.1,0.044,-3.6,0.035,0.44,20,1
0,OREGON,ARMY,91,77,2016,1,5.5,-12.3,-0.036,-0.039,-0.067,-0.057,-0.064,-14.5,-5.1,2.8,1.8,0.036,0.037,0.079,0.047,-5.1,-0.029,0.017,1.1,0.035,-1.2,0.041,3.2,-1.8,-12.48,0.045,-0.027,-1.1,-0.044,3.6,-0.035,-0.44,-20,0
0,NORTH-CAROLINA,TULANE,95,75,2016,1,5.9,-0.5,0.055,0.061,0.005,-0.016,-0.002,18.3,12,-3.7,-0.2,-0.057,-0.058,-0.094,-0.059,-8,0.05,-0.041,-10.9,-0.053,-0.5,-0.058,1.5,1.1,7.51,-0.065,0.031,10.9,0.045,-2.9,0.062,0.631,27,1
0,NORTH-CAROLINA,TULANE,95,75,2016,1,-5.9,0.5,-0.055,-0.061,-0.005,0.016,0.002,-18.3,-12,3.7,0.2,0.057,0.058,0.094,0.059,8,-0.05,0.041,10.9,0.053,0.5,0.058,-1.5,-1.1,-7.51,0.065,-0.031,-10.9,-0.045,2.9,-0.062,-0.631,-27,0
0,XAVIER,LEHIGH,84,81,2016,1,2.6,-0.8,-0.036,-0.022,0.087,-0.084,0.032,2.3,11.1,2.2,2.9,0.015,0.016,0.058,0.031,1.8,0.013,-0.013,-2.7,0.014,-1,0.037,-2.2,-0.6,14.81,-0.024,-0.047,2.7,-0.037,-2.2,-0.014,0.007,4,1
0,XAVIER,LEHIGH,84,81,2016,1,-2.6,0.8,0.036,0.022,-0.087,0.084,-0.032,-2.3,-11.1,-2.2,-2.9,-0.015,-0.016,-0.058,-0.031,-1.8,-0.013,0.013,2.7,-0.014,1,-0.037,2.2,0.6,-14.81,0.024,0.047,-2.7,0.037,2.2,0.014,-0.007,-4,0
