assist_percentage,block_percentage,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,free_throws_per_field_goal_attempt,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_turnover_percentage,opp_two_point_field_goal_percentage,pace,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_field_goal_percentage,win_percentage,wins,did_win
-0.5,-8.8,0.045,0.026,-0.051,-0.03,-0.046,5.2,3.4,0.3,0.7,0.034,0.013,0.074,0.04,-0.6,0.121,0.009,-1.6,0.031,2.7,0.046,1,2.5,-9.69,0.125,-0.006,1.6,0.03,1.8,0.077,0.044,3,0
3.9,6.3,-0.002,0.018,0.033,-0.034,0.01,4.6,1.9,-5.9,3.2,-0.045,-0.047,-0.183,-0.122,-1.1,0.04,-0.028,-2.1,-0.049,-1.6,-0.049,-6.6,0,6.87,-0.082,-0.041,2.1,-0.004,-3.6,0.028,0.281,9,1
-3.9,-6.3,0.002,-0.018,-0.033,0.034,-0.01,-4.6,-1.9,5.9,-3.2,0.045,0.047,0.183,0.122,1.1,-0.04,0.028,2.1,0.049,1.6,0.049,6.6,0,-6.87,0.082,0.041,-2.1,0.004,3.6,-0.028,-0.281,-9,0
16.4,5.8,0.054,0.04,-0.103,-0.016,-0.075,7.4,-2.4,-9.1,1.6,-0.049,-0.054,-0.075,-0.06,0.8,0.04,-0.014,0.2,-0.051,1.8,-0.063,-6.5,3.5,-1,0.052,0.038,-0.2,0.035,-1.8,0.054,0.411,16,1
-16.4,-5.8,-0.054,-0.04,0.103,0.016,0.075,-7.4,2.4,9.1,-1.6,0.049,0.054,0.075,0.06,-0.8,-0.04,0.014,-0.2,0.051,-1.8,0.063,6.5,-3.5,1,-0.052,-0.038,0.2,-0.035,1.8,-0.054,-0.411,-16,0
8.1,-3.3,-0.04,-0.046,0.04,-0.009,0.024,-8.8,-3.9,3.7,0.9,0.021,0.017,0.045,0.024,1.8,0.032,-0.006,3.7,0.019,0.3,0.035,2.2,1,11.11,0.034,0.002,-3.7,-0.033,1.3,-0.063,-0.223,-9,1
-8.1,3.3,0.04,0.046,-0.04,0.009,-0.024,8.8,3.9,-3.7,-0.9,-0.021,-0.017,-0.045,-0.024,-1.8,-0.032,0.006,-3.7,-0.019,-0.3,-0.035,-2.2,-1,-11.11,-0.034,-0.002,3.7,0.033,-1.3,0.063,0.223,9,0
11.6,-4.9,0.07,0.053,-0.038,0.044,-0.013,2.3,-13.2,2.2,0.6,0.062,0.054,-0.01,0.009,0,0.011,0.031,6,0.059,-0.4,0.071,8,0.1,1.49,0.038,0.058,-6,0.064,0.9,0.058,-0.178,-5,1
-11.6,4.9,-0.07,-0.053,0.038,-0.044,0.013,-2.3,13.2,-2.2,-0.6,-0.062,-0.054,0.01,-0.009,0,-0.011,-0.031,-6,-0.059,0.4,-0.071,-8,-0.1,-1.49,-0.038,-0.058,6,-0.064,-0.9,-0.058,0.178,5,0
13.6,3.6,0.01,0.004,0.014,0.057,0.031,-0.2,-2.7,-1.1,1.2,-0.079,-0.063,-0.063,-0.045,2.7,-0.05,-0.041,0.5,-0.075,-0.2,-0.087,3.8,2.4,-2.45,0.065,-0.036,-0.5,0.019,0.9,0.038,0.235,9,1
-13.6,-3.6,-0.01,-0.004,-0.014,-0.057,-0.031,0.2,2.7,1.1,-1.2,0.079,0.063,0.063,0.045,-2.7,0.05,0.041,-0.5,0.075,0.2,0.087,-3.8,-2.4,2.45,-0.065,0.036,0.5,-0.019,-0.9,-0.038,-0.235,-9,0
7.6,3.2,0.005,-0.014,0.045,-0.022,0.025,-4.2,-5.1,-0.5,-1.5,-0.064,-0.06,-0.06,-0.034,-0.1,0.011,-0.035,0.8,-0.055,-2.1,-0.07,5.3,-1.4,4.57,0.111,-0.007,-0.8,0.005,2.1,0.011,0.105,7,1
-7.6,-3.2,-0.005,0.014,-0.045,0.022,-0.025,4.2,5.1,0.5,1.5,0.064,0.06,0.06,0.034,0.1,-0.011,0.035,-0.8,0.055,2.1,0.07,-5.3,1.4,-4.57,-0.111,0.007,0.8,-0.005,-2.1,-0.011,-0.105,-7,0
7,0.3,0.013,0.013,-0.033,-0.084,-0.055,-0.3,2.3,3.3,2.7,0.006,-0.012,-0.012,-0.007,-0.2,0.054,0.063,-1.1,0.005,1.2,-0.036,1.5,0.9,1.32,-0.024,0.026,1.1,-0.005,0.9,0,0.104,3,1
-7,-0.3,-0.013,-0.013,0.033,0.084,0.055,0.3,-2.3,-3.3,-2.7,-0.006,0.012,0.012,0.007,0.2,-0.054,-0.063,1.1,-0.005,-1.2,0.036,-1.5,-0.9,-1.32,0.024,-0.026,-1.1,0.005,-0.9,0,-0.104,-3,0
-13.7,1.1,-0.011,0.003,0.074,0.035,0.064,8.7,4.1,-9.6,-1.1,0.008,0.014,-0.012,-0.025,0.2,0.006,-0.04,-0.6,-0.002,3,0.041,6.1,1.8,-0.01,-0.064,-0.02,0.6,0.001,-4.6,0,0.271,12,1
13.7,-1.1,0.011,-0.003,-0.074,-0.035,-0.064,-8.7,-4.1,9.6,1.1,-0.008,-0.014,0.012,0.025,-0.2,-0.006,0.04,0.6,0.002,-3,-0.041,-6.1,-1.8,0.01,0.064,0.02,-0.6,-0.001,4.6,0,-0.271,-12,0
2.8,-4.2,-0.024,-0.01,-0.009,0.011,-0.003,-2.7,8,9.3,0,0,0.002,0.042,0.028,0,-0.027,0.01,-3.6,0.004,-1.5,-0.009,-3.5,-1.5,3.49,-0.06,-0.021,3.6,-0.02,2.4,-0.02,-0.075,-6,1
-2.8,4.2,0.024,0.01,0.009,-0.011,0.003,2.7,-8,-9.3,0,0,-0.002,-0.042,-0.028,0,0.027,-0.01,3.6,-0.004,1.5,0.009,3.5,1.5,-3.49,0.06,0.021,-3.6,0.02,-2.4,0.02,0.075,6,0
9,2.8,0.026,0.026,-0.021,-0.023,-0.023,13.1,9.6,-3.6,-0.3,-0.048,-0.05,-0.055,-0.031,-7.5,0.052,-0.038,-8.7,-0.042,0.2,-0.047,1.1,1.7,12.36,0,0.004,8.7,0.017,-3.5,0.035,0.384,18,1
-9,-2.8,-0.026,-0.026,0.021,0.023,0.023,-13.1,-9.6,3.6,0.3,0.048,0.05,0.055,0.031,7.5,-0.052,0.038,8.7,0.042,-0.2,0.047,-1.1,-1.7,-12.36,0,-0.004,-8.7,-0.017,3.5,-0.035,-0.384,-18,0
12.2,6.6,0.118,0.113,-0.069,0.06,-0.03,18.5,-0.8,3.2,-2.3,-0.061,-0.076,-0.129,-0.081,-8.6,0.125,-0.034,-6.8,-0.059,0.9,-0.069,-8.4,-0.6,17.47,-0.093,0.106,6.8,0.104,-1.2,0.099,0.547,19,1
-12.2,-6.6,-0.118,-0.113,0.069,-0.06,0.03,-18.5,0.8,-3.2,2.3,0.061,0.076,0.129,0.081,8.6,-0.125,0.034,6.8,0.059,-0.9,0.069,8.4,0.6,-17.47,0.093,-0.106,-6.8,-0.104,1.2,-0.099,-0.547,-19,0
3.6,-2.2,0.055,0.049,-0.052,0.038,-0.023,1.6,-10.9,2.5,-1,0.022,0.024,0.007,-0.008,3.5,0.033,-0.046,5.4,0.014,-0.5,0.069,8.4,-1.9,-0.45,-0.011,0.038,-5.4,0.05,0.9,0.054,-0.016,-2,1
-3.6,2.2,-0.055,-0.049,0.052,-0.038,0.023,-1.6,10.9,-2.5,1,-0.022,-0.024,-0.007,0.008,-3.5,-0.033,0.046,-5.4,-0.014,0.5,-0.069,-8.4,1.9,0.45,0.011,-0.038,5.4,-0.05,-0.9,-0.054,0.016,2,0
-5.3,-3.5,0.041,0.037,0.034,0.125,0.073,13,-0.8,-1.9,-0.8,0.041,0.05,-0.178,-0.125,-4.1,-0.043,-0.008,-2.8,0.017,-5.1,0.077,-2.4,-3.4,9.57,-0.015,0.039,2.8,0.057,-3.3,0.033,0.151,7,1
5.3,3.5,-0.041,-0.037,-0.034,-0.125,-0.073,-13,0.8,1.9,0.8,-0.041,-0.05,0.178,0.125,4.1,0.043,0.008,2.8,-0.017,5.1,-0.077,2.4,3.4,-9.57,0.015,-0.039,-2.8,-0.057,3.3,-0.033,-0.151,-7,0
-4.8,4.6,0.032,0.031,0.007,0.046,0.021,13.9,12.2,2,-3,-0.029,-0.023,-0.013,-0.025,2.2,-0.039,0,-6.5,-0.033,-5.7,-0.053,6.4,-3.5,11.98,-0.035,0.034,6.5,0.035,-0.8,0.02,0.09,4,1
4.8,-4.6,-0.032,-0.031,-0.007,-0.046,-0.021,-13.9,-12.2,-2,3,0.029,0.023,0.013,0.025,-2.2,0.039,0,6.5,0.033,5.7,0.053,-6.4,3.5,-11.98,0.035,-0.034,-6.5,-0.035,0.8,-0.02,-0.09,-4,0
-0.4,4.4,-0.019,0.001,0.046,0.048,0.051,2,2.5,-1,-1,-0.028,-0.032,-0.002,0.004,3.8,0.036,-0.02,0.2,-0.021,1.2,-0.03,-0.6,-0.1,11.78,-0.113,-0.012,-0.2,-0.004,-1.6,-0.015,0.2,7,1
